ReachCode	Scientific Name	CommonName	Family	Former name
	Alisma triviale	northern water plantain, American water plantain	Alismataceae	
	Azolla mexicana	Mexican mosquitofern, Mexican water-fern	Azollaceae	
	Azolla sp.	water-fern	Azollaceae	
	Brasenia schreberi	watershield	Cabombaceae	
	Cabomba caroliniana	fanwort, Carolina fanwort	Cabombaceae	
	Callitriche hermaphroditica	northern water-starwort	Callitrichaceae	Callitriche autumnalis
	Callitriche heterophylla	different-leaved water-starwort	Callitrichaceae	
	Callitriche palustris	spring water starwort, vernal water-starwort	Callitriche	Callitriche verna
	Callitriche sp.	water-starwort	Callitrichaceae	
	Callitriche stagnalis	pond water-starwort	Callitrichaceae	
	Carex lyngbyei	Lyngbye's sedge	Cyperaceae	
	Carex sp.	sedge	Cyperaceae	
	Ceratophyllum demersum	Coontail; hornwort	Ceratophyllaceae	
	Chara sp.	muskwort	Characeae	
	Drosera rotundifolia	roundleaf sundew	Droseraceae	
	Egeria densa	South American waterweed, Brazilian elodea	Hydrocharitaceae	
	Eleocharis ovata	ovate spikerush	Cyperaceae	Eleocharis annua
	Eleocharis palustris	common spikerush, marsh spikerush	Cyperaceae	
	Eleocharis sp.	spikerush	Cyperaceae	
	Elodea canadensis	common elodea, Canadian waterweed	Hydrocharitaceae	
	Elodea nuttallii	Nuttall's waterweed, western waterweed	Hydrocharitaceae	
	Fallopia japonica	Japanese knotweed	Polygonaceae	Polygonum cuspidatum
	Fontinalis sp.	aquatic moss, fontinalis moss	Fontinalaceae	
	Hippuris vulgaris	common mare's-tail	Hippuridaceae	
	Hydrocotyle ranunculoides	floating marshpennywort	Apiaceae	
	Impatiens sp.	touch-me-not	Balsaminaceae	
	Iris pseudacorus	yellow flag iris	Iridaceae	
	Juncus sp.	rush	Juncaceae	
	Juncus supiniformis	spreading rush	Juncaceae	
	Lemna minor	duckweed	Lemnaceae	
	Lemna sp.	duckweed	Lemnaceae	
	Lilaea scilloides	flowering quillwort	Juncaginaceae	
	Lilaeopsis occidentalis	lilaeopsis	Apiaceae	
	Ludwigia hexapetala	water primrose	Onagraceae	
	Ludwigia palustris	water-purslane	Onagraceae	
	Ludwigia peploides	creeping waterprimrose, floating primrose-willow	Onagraceae	
	Lycopus sp	water horehound	"	Lamiaceae"	
	Lythrum salicaria	purple loosestrife	Lythraceae	
	Mentha sp.	mint	Lamiaceae	
	Menyanthes trifoliata	buckbean	Menyanthaceae	
	Myosotis sp.	forget-me-not	Boraginaceae	
	Myriophyllum aquaticum	parrots feather, parrot feather watermilfoil	Haloragaceae	
	Myriophyllum hybrid	hybrid of Eurasian and northern milfoils	Haloragaceae	
	Myriophyllum sibiricum	northern watermilfoil	Haloragaceae	
	Myriophyllum spicatum	Eurasian watermilfoil	Haloragaceae	
	Najas flexilis	common naiad	Najadaceae	
	Najas gracillima	slender waternymph	Hydrocharitaceae	
	Nitella flexillis	Nitella	Characeae	
	Nitella sp.	stonewort	Characeae	
	Nuphar polysepala	yellow water-lily	Nymphaeaceae	
	Nymphaea odorata	fragrant waterlily	Nymphaeaceae	
	Oenanthe sarmentosa	water-parsley	Apiaceae	
	Persicaria amphibia	water smartweed	Polygonaceae	Polygonum amphibium
	Phalaris arundinacia	reed canarygrass	Poaceae	
	Polygonum sp.	smartweed	Polygonaceae	
	Potamogeton crispus	curly leaf pondweed	Potamogetonaceae	
	Potamogeton epihydrus	ribbonleaf pondweed	Potamogetonaceae	
	Potamogeton foliosus	leafy pondweed	Potamogetonaceae	
	Potamogeton friesii	flat-stalked pondweed	Potamogetonaceae	
	Potamogeton natans	floating leaf pondweed	Potamogetonaceae	
	Potamogeton pusillus	slender pondweed	Potamogetonaceae	
	Potamogeton richardsonii	Richardson's pondweed	Potamogetonaceae	
	Potamogeton sp.	pondweed	Potamogetonaceae	
	Potamogeton sp. (thin leaved)	thin leaved pondweed	Potamogetonaceae	
	Potamogeton zosteriformis	eel-grass pondweed	Potamogetonaceae	
	Potentilla anserina	silverweed cinquefoil	Rosaceae	Argentina anserina
	Ranunculus aquatilis	water-buttercup	Ranunculaceae	
	Ranunculus flammula	creeping buttercup	Ranunculaceae	
	Sagittaria latifolia	broadleaf arrowhead, wapato	Alismataceae	
	Schoenoplectus sp.	naked-stemmed bulrush	Cyperaceae	
	Schoenoplectus subterminalis	water clubrush	Cyperaceae	Schoenoplectus subterminalis (Torr.) Soják
	Schoenoplectus tabernaemontani	softstem bulrush	Cyperaceae	
	Solanum dulcamara	climbing nightshade, bitter nightshade	Solanaceae	
	Sparganium angustifolium	narrowleaf bur-reed	Sparganiaceae	
	Sparganium eurycarpum	broadfruited bur-reed	Sparganiaceae	
	Sparganium sp.	bur-reed	Sparganiaceae	
	Spirodela polyrrhiza	great duckweed	Lemnaceae	
	Stuckenia pectinata	sago pondweed	Potamogetonaceae	
	Typha latifolia	common cat-tail	Typhaceae	
	Utricularia vulgaris	common bladderwort	Lentibulariaceae	
	Veronica catenata	chain speedwell	Scrophulariaceae	
17070101004774	Amorpha fruticosa	false indigo bush	Fabaceae	
17070101004774	Ceratophyllum demersum	Coontail; hornwort	Ceratophyllaceae	
17070101004774	Elodea canadensis	common elodea, Canadian waterweed	Hydrocharitaceae	
17070101004774	Elodea nuttallii	Nuttall's waterweed, western waterweed	Hydrocharitaceae	
17070101004774	Myriophyllum spicatum	Eurasian watermilfoil	Haloragaceae	
17070101004774	Persicaria amphibia	water smartweed	Polygonaceae	Polygonum amphibium
17070101004774	Potamogeton crispus	curly leaf pondweed	Potamogetonaceae	
17070101004774	Potamogeton foliosus	leafy pondweed	Potamogetonaceae	
17070101004866	Amorpha fruticosa	false indigo bush	Fabaceae	
17070101004866	Ceratophyllum demersum	Coontail; hornwort	Ceratophyllaceae	
17070101004866	Elodea canadensis	common elodea, Canadian waterweed	Hydrocharitaceae	
17070101004866	Heteranthera dubia	water star-grass, grassleaf mudplantain	Pontederiaceae	
17070101004866	Iris pseudacorus	yellow flag iris	Iridaceae	
17070101004866	Myriophyllum spicatum	Eurasian watermilfoil	Haloragaceae	
17070101004866	Potamogeton crispus	curly leaf pondweed	Potamogetonaceae	
17070101004866	Potamogeton foliosus	leafy pondweed	Potamogetonaceae	
17070101004890	Ceratophyllum demersum	Coontail; hornwort	Ceratophyllaceae	
17070101004890	Elodea nuttallii	Nuttall's waterweed, western waterweed	Hydrocharitaceae	
17070101004890	Heteranthera dubia	water star-grass, grassleaf mudplantain	Pontederiaceae	
17070101004890	Iris pseudacorus	yellow flag iris	Iridaceae	
17070101004890	Lythrum salicaria	purple loosestrife	Lythraceae	
17070101004890	Myriophyllum spicatum	Eurasian watermilfoil	Haloragaceae	
17070101004890	Potamogeton crispus	curly leaf pondweed	Potamogetonaceae	
17070101004890	Potamogeton foliosus	leafy pondweed	Potamogetonaceae	
17070101004890	Potamogeton praelongus	whitestem pondweed	Potamogetonaceae	
17070101004890	Schoenoplectus tabernaemontani	softstem bulrush	Cyperaceae	
17070101004890	Typha latifolia	common cat-tail	Typhaceae	
17070103001878	Elodea canadensis	common elodea, Canadian waterweed	Hydrocharitaceae	
17070103001878	Myriophyllum spicatum	Eurasian watermilfoil	Haloragaceae	
17070103001878	Potamogeton crispus	curly leaf pondweed	Potamogetonaceae	
17070301004153	Ceratophyllum demersum	Coontail; hornwort	Ceratophyllaceae	
17070301004153	Chara sp.	muskwort	Characeae	
17070301004153	Elatine sp.	waterwort	Elatinaceae	
17070301004153	Elodea canadensis	common elodea, Canadian waterweed	Hydrocharitaceae	
17070301004153	Potamogeton crispus	curly leaf pondweed	Potamogetonaceae	
17070301004153	Potamogeton gramineus	grass-leaved pondweed	Potamogetonaceae	
17070301004153	Potamogeton nodosus	longleaf pondweed	Potamogetonaceae	
17070301004153	Potamogeton richardsonii	Richardson's pondweed	Potamogetonaceae	
17070301004153	Potamogeton sp. (thin leaved)	thin leaved pondweed	Potamogetonaceae	
17070301004153	Ranunculus sp.	buttercup	Ranunculaceae	
17070301004153	Stuckenia filiformis	slender leaved pondweed	Potamogetonaceae	
17070301004153	Stuckenia pectinata	sago pondweed	Potamogetonaceae	
17070302000350	Myriophyllum sibiricum	northern watermilfoil	Haloragaceae	
17070302000350	Myriophyllum verticillatum	whorled watermilfoil	Haloragaceae	
17080006006562	Callitriche hermaphroditica	northern water-starwort	Callitrichaceae	Callitriche autumnalis
17080006006562	Ceratophyllum demersum	Coontail; hornwort	Ceratophyllaceae	
17080006006562	Crassula aquatica	pygmy-weed	Crassulaceae	
17080006006562	Eleocharis acicularis	needle spikerush	Cyperaceae	
17080006006562	Elodea nuttallii	Nuttall's waterweed, western waterweed	Hydrocharitaceae	
17080006006562	Hydrocotyle ranunculoides	floating marshpennywort	Apiaceae	
17080006006562	Juncus sp.	rush	Juncaceae	
17080006006562	Lemna minor	duckweed	Lemnaceae	
17080006006562	Ludwigia palustris	water-purslane	Onagraceae	
17080006006562	Nitella sp.	stonewort	Characeae	
17080006006562	Nuphar polysepala	yellow water-lily	Nymphaeaceae	
17080006006562	Oenanthe sarmentosa	water-parsley	Apiaceae	
17080006006562	Persicaria amphibia	water smartweed	Polygonaceae	Polygonum amphibium
17080006006562	Phalaris arundinacia	reed canarygrass	Poaceae	
17080006006562	Potamogeton natans	floating leaf pondweed	Potamogetonaceae	
17080006006562	Potamogeton sp. (thin leaved)	thin leaved pondweed	Potamogetonaceae	
17080006006562	Potamogeton zosteriformis	eel-grass pondweed	Potamogetonaceae	
17080006006562	Sparganium angustifolium	narrowleaf bur-reed	Sparganiaceae	
17080006006562	Utricularia vulgaris	common bladderwort	Lentibulariaceae	
17080006006562	Vallisneria americana	water celery	Hydrocharitaceae	
17080006006562	Veronica catenata	chain speedwell	Scrophulariaceae	
17080006006591	Cabomba caroliniana	fanwort, Carolina fanwort	Cabombaceae	
17080006006591	Callitriche hermaphroditica	northern water-starwort	Callitrichaceae	Callitriche autumnalis
17080006006591	Ceratophyllum demersum	Coontail; hornwort	Ceratophyllaceae	
17080006006591	Egeria densa	South American waterweed, Brazilian elodea	Hydrocharitaceae	
17080006006591	Elatine sp.	waterwort	Elatinaceae	
17080006006591	Elodea nuttallii	Nuttall's waterweed, western waterweed	Hydrocharitaceae	
17080006006591	Hippuris vulgaris	common mare's-tail	Hippuridaceae	
17080006006591	Hydrocotyle ranunculoides	floating marshpennywort	Apiaceae	
17080006006591	Iris pseudacorus	yellow flag iris	Iridaceae	
17080006006591	Juncus sp.	rush	Juncaceae	
17080006006591	Ludwigia palustris	water-purslane	Onagraceae	
17080006006591	Lythrum salicaria	purple loosestrife	Lythraceae	
17080006006591	Myriophyllum aquaticum	parrots feather, parrot feather watermilfoil	Haloragaceae	
17080006006591	Nitella sp.	stonewort	Characeae	
17080006006591	Nuphar polysepala	yellow water-lily	Nymphaeaceae	
17080006006591	Nymphaea odorata	fragrant waterlily	Nymphaeaceae	
17080006006591	Persicaria punctata	dotted smartweed	Polygonaceae	Polygonum punctatum
17080006006591	Potamogeton sp. (thin leaved)	thin leaved pondweed	Potamogetonaceae	
17080006006591	Utricularia vulgaris	common bladderwort	Lentibulariaceae	
17080006006591	Vallisneria americana	water celery	Hydrocharitaceae	
17080006006735	Azolla mexicana	Mexican mosquitofern, Mexican water-fern	Azollaceae	
17080006006735	Brasenia schreberi	watershield	Cabombaceae	
17080006006735	Cabomba caroliniana	fanwort, Carolina fanwort	Cabombaceae	
17080006006735	Callitriche hermaphroditica	northern water-starwort	Callitrichaceae	Callitriche autumnalis
17080006006735	Ceratophyllum demersum	Coontail; hornwort	Ceratophyllaceae	
17080006006735	Egeria densa	South American waterweed, Brazilian elodea	Hydrocharitaceae	
17080006006735	Elodea nuttallii	Nuttall's waterweed, western waterweed	Hydrocharitaceae	
17080006006735	Iris pseudacorus	yellow flag iris	Iridaceae	
17080006006735	Juncus sp.	rush	Juncaceae	
17080006006735	Lemna minor	duckweed	Lemnaceae	
17080006006735	Lythrum salicaria	purple loosestrife	Lythraceae	
17080006006735	Myriophyllum aquaticum	parrots feather, parrot feather watermilfoil	Haloragaceae	
17080006006735	Myriophyllum verticillatum	whorled watermilfoil	Haloragaceae	
17080006006735	Nuphar polysepala	yellow water-lily	Nymphaeaceae	
17080006006735	Nymphaea odorata	fragrant waterlily	Nymphaeaceae	
17080006006735	Potamogeton epihydrus	ribbonleaf pondweed	Potamogetonaceae	
17080006006735	Potamogeton sp.	pondweed	Potamogetonaceae	
17080006006735	Potamogeton zosteriformis	eel-grass pondweed	Potamogetonaceae	
17080006006735	Sparganium angustifolium	narrowleaf bur-reed	Sparganiaceae	
17080006006735	Spirodela polyrrhiza	great duckweed	Lemnaceae	
17080006006735	Utricularia vulgaris	common bladderwort	Lentibulariaceae	
17090010000202	Elodea canadensis	common elodea, Canadian waterweed	Hydrocharitaceae	
17090010000202	Sparganium sp.	bur-reed	Sparganiaceae	
17090010004615	Alisma triviale	northern water plantain, American water plantain	Alismataceae	
17090010004615	Ceratophyllum demersum	Coontail; hornwort	Ceratophyllaceae	
17090010004615	Eleocharis palustris	common spikerush, marsh spikerush	Cyperaceae	
17090010004615	Fontinalis sp.	aquatic moss, fontinalis moss	Fontinalaceae	
17090010004615	Iris pseudacorus	yellow flag iris	Iridaceae	
17090010004615	Ludwigia palustris	water-purslane	Onagraceae	
17090010004615	Mentha pulegium	pennyroyal, peppermint	Lamiaceae	
17090010004615	Nitella sp.	stonewort	Characeae	
17090010004615	Potamogeton diversifolius	snailseed pondweed, diverse leaf pondweed	Potamogetonaceae	
17090010004615	Potamogeton pusillus	slender pondweed	Potamogetonaceae	
17090011000850	Callitriche hermaphroditica	northern water-starwort	Callitrichaceae	Callitriche autumnalis
17090011000850	Callitriche heterophylla	different-leaved water-starwort	Callitrichaceae	
17090011000850	Eleocharis acicularis	needle spikerush	Cyperaceae	
17090011000850	Fontinalis sp.	aquatic moss, fontinalis moss	Fontinalaceae	
17090011000850	Nitella sp.	stonewort	Characeae	
17090011000850	Persicaria amphibia	water smartweed	Polygonaceae	Polygonum amphibium
17090011000850	Potamogeton alpinus	red pondweed	Potamogetonaceae	
17090011000850	Potamogeton natans	floating leaf pondweed	Potamogetonaceae	
17090011000850	Potamogeton pusillus	slender pondweed	Potamogetonaceae	
17090011000850	Ranunculus aquatilis	water-buttercup	Ranunculaceae	
17090011000850	Ranunculus flammula	creeping buttercup	Ranunculaceae	
17090011000850	Schoenoplectus subterminalis	water clubrush	Cyperaceae	Schoenoplectus subterminalis (Torr.) Soják
17090011000850	Sparganium angustifolium	narrowleaf bur-reed	Sparganiaceae	
17090011000850	Utricularia vulgaris ssp. macrorhiza	common bladderwort	Lentibulariaceae	
17090011005288	Elodea canadensis	common elodea, Canadian waterweed	Hydrocharitaceae	
17090011005288	Fontinalis sp.	aquatic moss, fontinalis moss	Fontinalaceae	
17090011005288	Nitella sp.	stonewort	Characeae	
17090011005288	Potamogeton pusillus	slender pondweed	Potamogetonaceae	
17090011005288	Sphagnum sp.	peat moss	Sphagnaceae	
17090012000320	Eleocharis obtusa	blunt spikerush		
17090012000320	Myriophyllum spicatum	Eurasian watermilfoil	Haloragaceae	
17090012000320	Persicaria amphibia	water smartweed	Polygonaceae	Polygonum amphibium
17090012000320	Sagittaria latifolia	broadleaf arrowhead, wapato	Alismataceae	
17090012000320	Schoenoplectus tabernaemontani	softstem bulrush	Cyperaceae	
17090012000361	Chara sp.	muskwort	Characeae	
17090012000361	Elodea canadensis	common elodea, Canadian waterweed	Hydrocharitaceae	
17090012000361	Myriophyllum spicatum	Eurasian watermilfoil	Haloragaceae	
17090012000361	Nitella sp.	stonewort	Characeae	
17090012000361	Nymphaea odorata	fragrant waterlily	Nymphaeaceae	
17090012000361	Potamogeton crispus	curly leaf pondweed	Potamogetonaceae	
17090012000361	Potamogeton foliosus	leafy pondweed	Potamogetonaceae	
17090012003538	Ceratophyllum demersum	Coontail; hornwort	Ceratophyllaceae	
17090012003538	Elodea canadensis	common elodea, Canadian waterweed	Hydrocharitaceae	
17090012003538	Impatiens capensis	jewelweed	Balsaminaceae	
17090012003538	Iris pseudacorus	yellow flag iris	Iridaceae	
17090012003538	Lemna sp.	duckweed	Lemnaceae	
17090012003538	Lythrum salicaria	purple loosestrife	Lythraceae	
17090012003538	Potamogeton crispus	curly leaf pondweed	Potamogetonaceae	
17090012003538	Potamogeton pusillus	slender pondweed	Potamogetonaceae	
17090012003538	Spirodela polyrrhiza	great duckweed	Lemnaceae	
17100201000712	Callitriche stagnalis	pond water-starwort	Callitrichaceae	
17100201000712	Ceratophyllum demersum	Coontail; hornwort	Ceratophyllaceae	
17100201000712	Elatine sp.	waterwort	Elatinaceae	
17100201000712	Eleocharis acicularis	needle spikerush	Cyperaceae	
17100201000712	Eleocharis sp.	spikerush	Cyperaceae	
17100201000712	Elodea nuttallii	Nuttall's waterweed, western waterweed	Hydrocharitaceae	
17100201000712	Isoetes sp.	quillwort	Isoetaceae	
17100201000712	Juncus sp.	rush	Juncaceae	
17100201000712	Lemna minor	duckweed	Lemnaceae	
17100201000712	Lilaeopsis occidentalis	lilaeopsis	Apiaceae	
17100201000712	Najas flexilis	common naiad	Najadaceae	
17100201000712	Nitella sp.	stonewort	Characeae	
17100201000712	Nuphar polysepala	yellow water-lily	Nymphaeaceae	
17100201000712	Nymphaea odorata	fragrant waterlily	Nymphaeaceae	
17100201000712	Potamogeton richardsonii	Richardson's pondweed	Potamogetonaceae	
17100201000712	Potamogeton sp.	pondweed	Potamogetonaceae	
17100201000712	Potamogeton zosteriformis	eel-grass pondweed	Potamogetonaceae	
17100201000712	Vallisneria americana	water celery	Hydrocharitaceae	
17100201000712	Veronica sp.	speedwell	Scrophulariaceae	
17100205005558	Brasenia schreberi	watershield	Cabombaceae	
17100205005558	Cabomba caroliniana	fanwort, Carolina fanwort	Cabombaceae	
17100205005558	Callitriche hermaphroditica	northern water-starwort	Callitrichaceae	Callitriche autumnalis
17100205005558	Egeria densa	South American waterweed, Brazilian elodea	Hydrocharitaceae	
17100205005558	Elodea canadensis	common elodea, Canadian waterweed	Hydrocharitaceae	
17100205005558	Myriophyllum hippuroides	western watermilfoil	Haloragaceae	
17100205005558	Myriophyllum spicatum	Eurasian watermilfoil	Haloragaceae	
17100205005558	Najas flexilis	common naiad	Najadaceae	
17100205005558	Nuphar polysepala	yellow water-lily	Nymphaeaceae	
17100205005558	Nymphaea odorata	fragrant waterlily	Nymphaeaceae	
17100205005558	Potamogeton amplifolius	large-leaf pondweed	Potamogetonaceae	
17100205005558	Potamogeton epihydrus	ribbonleaf pondweed	Potamogetonaceae	
17100205005558	Potamogeton natans	floating leaf pondweed	Potamogetonaceae	
17100205005558	Potamogeton pusillus	slender pondweed	Potamogetonaceae	
17100205005558	Potamogeton robbinsii	fern leaf pondweed	Potamogetonaceae	
17100205005558	Schoenoplectus acutus	hardstem bulrush	Cyperaceae	
17100205005558	Schoenoplectus subterminalis	water clubrush	Cyperaceae	Schoenoplectus subterminalis (Torr.) Soják
17100205005558	Utricularia vulgaris	common bladderwort	Lentibulariaceae	
17100206000578	Brasenia schreberi	watershield	Cabombaceae	
17100206000578	Isoetes occidentalis	western quillwort	Isoetaceae	
17100206000578	Lilaeopsis occidentalis	lilaeopsis	Apiaceae	
17100206000578	Myriophyllum hippuroides	western watermilfoil	Haloragaceae	
